SS316LN,laser pulse duration (ns),laser energy (mJ),loding rate (µN/s),Depth (nm),load (µN) ,time (s)
,0.00001,0.00001,2500,0,9.582889,0
,0.00001,0.00001,2500,2.181014,34.290347,0.005005
,0.00001,0.00001,2500,3.843053,59.312729,0.01001
,0.00001,0.00001,2500,5.666781,84.231046,0.015014
,0.00001,0.00001,2500,8.830898,108.841685,0.020019
,0.00001,0.00001,2500,11.641056,133.502795,0.025024
,0.00001,0.00001,2500,14.47374,158.149679,0.030029
,0.00001,0.00001,2500,16.890995,182.906671,0.035034
,0.00001,0.00001,2500,18.668768,207.75511,0.040038
,0.00001,0.00001,2500,20.587271,232.589531,0.045043
,0.00001,0.00001,2500,22.737572,257.378725,0.050048
,0.00001,0.00001,2500,24.45029,282.247373,0.055053
,0.00001,0.00001,2500,26.252721,307.109899,0.060058
,0.00001,0.00001,2500,28.340388,331.926523,0.065062
,0.00001,0.00001,2500,30.065036,356.791574,0.070067
,0.00001,0.00001,2500,31.834064,381.679169,0.075072
,0.00001,0.00001,2500,33.296101,406.60454,0.080077
,0.00001,0.00001,2500,34.822892,431.526092,0.085082
,0.00001,0.00001,2500,36.440421,456.428179,0.090086
,0.00001,0.00001,2500,37.817405,481.390291,0.095091
,0.00001,0.00001,2500,39.151246,506.476052,0.100096
,0.00001,0.00001,2500,40.720933,531.384131,0.105101
,0.00001,0.00001,2500,42.216784,556.303669,0.110106
,0.00001,0.00001,2500,43.866743,581.226217,0.11511
,0.00001,0.00001,2500,45.097885,606.205847,0.120115
,0.00001,0.00001,2500,46.379991,631.193366,0.12512
,0.00001,0.00001,2500,47.396229,656.210667,0.130125
,0.00001,0.00001,2500,49.203088,681.109952,0.13513
,0.00001,0.00001,2500,50.759738,706.087889,0.140134
,0.00001,0.00001,2500,51.927647,731.095627,0.145139
,0.00001,0.00001,2500,53.152606,756.067365,0.150144
,0.00001,0.00001,2500,54.56013,781.056549,0.155149
,0.00001,0.00001,2500,56.004628,806.028298,0.160154
,0.00001,0.00001,2500,57.051016,831.058769,0.165158
,0.00001,0.00001,2500,58.234696,856.061085,0.170163
,0.00001,0.00001,2500,59.834045,881.001164,0.175168
,0.00001,0.00001,2500,61.350628,905.9677,0.180173
,0.00001,0.00001,2500,62.412677,931.015767,0.185178
,0.00001,0.00001,2500,63.628791,956.048975,0.190182
